Year,Mo,Dy,Hr,Name,Latitude,Longitude,magnitude,deaths,location
1910,10,27,,MOROCCO: MELILLA: CANARY I: PENON DE LA GOMERA,35.3,-2.97,,,MOROCCO
1910,11,9,6,VANUATU ISLANDS: ESPIRITU SANTO,-16,166,7.9,,VANUATU ISLANDS
1910,11,10,12,VANUATU ISLANDS: ESPIRITU SANTO,-14,166.5,7.2,,VANUATU ISLANDS
1910,11,26,4,SOLOMON ISLANDS,-8,167,8,,SOLOMON ISLANDS
1910,12,13,11,ZAMBIA,-8,31,7.3,2,ZAMBIA
1910,12,16,14,INDONESIA: TALAUD ISLANDS,4.5,126,7.5,,INDONESIA
1910,12,18,2,INDONESIA: SULAWESI-N. MOLUCCAS ISLANDS,4,127,6.7,,INDONESIA
1910,12,30,,PHILIPPINES: SULU SEA,9,125.5,6.2,,PHILIPPINES
1911,1,3,23,"KAZAKHSTAN: ALMA-ATA, TURKESTAN",43.5,77.5,7.7,450,KAZAKHSTAN
1911,1,26,,CHINA: HEBEI PROVINCE,39.8,114.5,5.5,,CHINA
1911,1,27,23,PHILIPPINES: LUZON: TAAL VOLCANO,14.002,120.993,,,PHILIPPINES
1911,2,18,18,"TAJIKISTAN: USOY, BARCHIDIV, POSOR, NISUR",38.2,72.8,7.4,90,TAJIKISTAN
1911,2,18,21,GREECE-ALBANIA,41.1,20.7,6.7,,GREECE-ALBANIA
1911,4,18,18,IRAN: RAVAR,31.23,57.03,6.7,700,IRAN
1911,5,4,23,RUSSIA: NEAR KAMCHATKA,51.8,156,7.6,,RUSSIA
1911,5,8,,PAPUA NEW GUINEA: MATUPIT ISLAND,-4.25,152.25,,,PAPUA NEW GUINEA
1911,5,14,,CHINA: GUANGDONG PROVINCE,23,115.3,5.5,,CHINA
1911,6,7,11,MEXICO: MICHOACAN,17.5,-102.5,7.9,45,MEXICO
1911,6,15,14,JAPAN: RYUKYU ISLANDS,28,130,8,12,JAPAN
1911,7,4,13,AFGHANISTAN: HINDU KUSH,36,70.5,7.6,,AFGHANISTAN
1911,7,12,4,"PHILIPPINES: MINDANAO: TALACOGON,DAVAO,BUTUAN",9,126,7.8,,PHILIPPINES
1911,7,24,,"FRANCE: NAY,BENEJACQ,ARAMITS,ARROS,GAN,BOSDARROS",43.2,0.2,5,,FRANCE
